row,col,zone,sku_id,abc_class,xyz_class,velocity_score,dist_to_dispatch
0,1,FRAGILE,SKU-0019,A,X,0.9677368192166407,1.5
0,2,FRAGILE,SKU-0017,A,X,0.961649225899039,3.0
0,3,FRAGILE,SKU-0039,A,Y,0.9593749999970795,4.5
0,5,FRAGILE,SKU-0032,A,Y,0.8924461432857914,7.5
0,6,FRAGILE,SKU-0015,A,Y,0.8761294475712122,9.0
0,7,FRAGILE,SKU-0022,A,Y,0.8335727904361109,10.5
0,9,FRAGILE,SKU-0007,A,X,0.7451892433284457,13.5
0,10,FRAGILE,SKU-0051,B,Y,0.3086969485213118,15.0
0,11,FRAGILE,SKU-0109,B,Y,0.2736679109009418,16.5
0,13,FRAGILE,SKU-0183,C,Y,0.2542859501032793,19.5
0,14,FRAGILE,SKU-0101,B,Y,0.2449511267895037,21.0
0,15,FRAGILE,SKU-0107,B,Y,0.2439928808389992,22.5
0,17,FRAGILE,SKU-0096,C,Y,0.21781188489020348,25.5
0,18,FRAGILE,SKU-0056,C,Y,0.2066755794096855,27.0
0,19,FRAGILE,SKU-0141,C,Y,0.20255884468584662,28.5
0,21,FRAGILE,SKU-0189,C,Y,0.19557082119452918,31.5
0,22,FRAGILE,SKU-0150,C,X,0.19486834876929238,33.0
0,23,FRAGILE,SKU-0134,C,Y,0.17921956753518983,34.5
1,1,FRAGILE,SKU-0034,A,X,0.9599587541395431,3.0
1,2,FRAGILE,SKU-0008,A,Y,0.9484517011872642,4.5
1,3,FRAGILE,SKU-0016,A,X,0.9358023482372786,6.0
1,5,FRAGILE,SKU-0010,A,Y,0.8561083101875975,9.0
1,6,FRAGILE,SKU-0033,A,Y,0.8189478951163898,10.5
1,7,FRAGILE,SKU-0013,A,Y,0.8061861852299088,12.0
1,9,FRAGILE,SKU-0085,B,Y,0.30598519890971076,15.0
1,10,FRAGILE,SKU-0135,B,Y,0.2727619246149333,16.5
1,11,FRAGILE,SKU-0074,C,Y,0.2685750495656598,18.0
1,13,FRAGILE,SKU-0117,B,Y,0.24458186005321805,21.0
1,14,FRAGILE,SKU-0108,B,Y,0.23488362136769453,22.5
1,15,FRAGILE,SKU-0197,C,Y,0.22579353093092644,24.0
1,17,FRAGILE,SKU-0076,C,Y,0.20657699196850005,27.0
1,18,FRAGILE,SKU-0070,C,Y,0.19783559007459062,28.5
1,19,FRAGILE,SKU-0106,C,Y,0.19642255262587338,30.0
1,21,FRAGILE,SKU-0181,C,Y,0.18809311721996086,33.0
1,22,FRAGILE,SKU-0185,C,Y,0.1792060351362148,34.5
1,23,FRAGILE,SKU-0049,C,Y,0.17822155198884443,36.0
2,1,GENERAL,SKU-0018,A,X,0.9504607054890013,4.5
2,2,GENERAL,SKU-0002,A,Y,0.928365523291725,6.0
2,3,GENERAL,SKU-0005,A,Y,0.9211425952473401,7.5
2,5,GENERAL,SKU-0021,A,X,0.816402524673085,10.5
2,6,GENERAL,SKU-0026,A,Y,0.803427486022048,12.0
2,7,GENERAL,SKU-0187,B,Y,0.34178699690687475,13.5
2,9,GENERAL,SKU-0114,B,Y,0.27131002122151593,16.5
2,10,GENERAL,SKU-0097,B,Y,0.26244889450280584,18.0
2,11,GENERAL,SKU-0133,B,Y,0.253895975441331,19.5
2,13,GENERAL,SKU-0167,C,Y,0.2343925675135862,22.5
2,14,GENERAL,SKU-0145,C,Y,0.22446500275490594,24.0
2,15,GENERAL,SKU-0110,C,Y,0.2168592979428784,25.5
2,17,GENERAL,SKU-0126,C,Y,0.19500674606808294,28.5
2,18,GENERAL,SKU-0098,C,Y,0.1858595824588698,30.0
2,19,GENERAL,SKU-0104,C,Y,0.17017737508079867,31.5
2,21,GENERAL,,,,0.0,34.5
2,22,GENERAL,,,,0.0,36.0
2,23,GENERAL,,,,0.0,37.5
3,1,GENERAL,SKU-0023,A,X,0.9260783241807191,6.0
3,2,GENERAL,SKU-0025,A,Y,0.9034537276921244,7.5
3,3,GENERAL,SKU-0011,A,Y,0.8528896749335564,9.0
3,5,GENERAL,SKU-0029,A,Y,0.7943876690070701,12.0
